date,availability
2022/12/03,36.25763
2022/12/04,37.60859
2022/12/05,37.21364
2022/12/06,37.125
2022/12/07,37.14427
2022/12/08,37.71502
2022/12/09,39.24802
2022/12/10,39.53941
2022/12/11,40.00645
2022/12/12,40.71479
2022/12/13,41.04943
2022/12/14,41.285
2022/12/15,41.38042
2022/12/16,41.65205
2022/12/17,41.655
2022/12/18,40.80896
2022/12/19,40.77823
2022/12/20,40.83999
2022/12/21,40.905
2022/12/22,40.94959
2022/12/23,39.31551
2022/12/24,36.38608
2022/12/25,36.99896
2022/12/26,35.44631
2022/12/27,38.70571
2022/12/28,40.02084
2022/12/29,35.63581
2022/12/30,33.76285
2022/12/31,32.07941
2023/01/01,33.64598
2023/01/02,40.67428
2023/01/03,41.989
2023/01/04,42.02368
2023/01/05,42.77958
2023/01/06,43.02271
2023/01/07,43.09592
2023/01/08,40.87224
2023/01/09,44.22727
2023/01/10,44.90586
2023/01/11,45.00621
2023/01/12,44.0501
2023/01/13,44.086
2023/01/14,42.03223
2023/01/15,41.16841
2023/01/16,44.20491
2023/01/17,44.091
2023/01/18,43.50045
2023/01/19,40.12424
2023/01/20,42.33072
2023/01/21,42.37225
2023/01/22,43.04329
2023/01/23,43.301
2023/01/24,43.301
2023/01/25,43.33308
2023/01/26,44.16009
2023/01/27,44.0981
2023/01/28,44.55396
2023/01/29,44.13302
2023/01/30,43.14479
2023/01/31,43.24595
2023/02/01,44.18679
2023/02/02,45.12583
2023/02/03,46.09766
2023/02/04,46.21268
2023/02/05,46.00679
2023/02/06,45.27323
2023/02/07,43.87148
2023/02/08,45.67729
2023/02/09,45.92479
2023/02/10,46.66649
2023/02/11,45.39646
2023/02/12,45.0359
2023/02/13,44.91259
2023/02/14,45.09
2023/02/15,44.5718
2023/02/16,43.44432
2023/02/17,44.10737
2023/02/18,42.78967
2023/02/19,42.11639
2023/02/20,41.93197
2023/02/21,41.95
2023/02/22,42.32118
2023/02/23,42.34573
2023/02/24,42.19938
2023/02/25,40.00156
2023/02/26,39.09301
2023/02/27,39.59396
2023/02/28,39.615
2023/03/01,39.51233
2023/03/02,39.615
2023/03/03,38.84447
2023/03/04,34.99024
2023/03/05,34.37244
2023/03/06,35.53012
2023/03/07,37.14251
2023/03/08,36.68276
2023/03/09,35.95138
2023/03/10,34.40802
2023/03/11,36.88371
2023/03/12,33.80247
2023/03/13,33.27634
2023/03/14,35.58575
2023/03/15,37.37965
2023/03/16,37.21985
2023/03/17,36.93712
2023/03/18,35.7926
2023/03/19,34.5353
2023/03/20,35.18173
2023/03/21,36.73839
2023/03/22,36.80233
2023/03/23,35.88412
2023/03/24,36.23523
2023/03/25,35.8252
2023/03/26,36.31856
2023/03/27,34.87925
2023/03/28,35.60459
2023/03/29,36.3075
2023/03/30,36.57742
2023/03/31,35.73711
2023/04/01,36.63611
2023/04/02,36.69063
